model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch_BAG_L1,0.983567785181213,competition_score,0.1075289249420166,40.607256174087524,0.1075289249420166,40.607256174087524,1,True,10
NeuralNetTorch_r197_BAG_L1,0.9833653083853806,competition_score,0.10803699493408203,40.89856719970703,0.10803699493408203,40.89856719970703,1,True,52
NeuralNetTorch_r86_BAG_L1,0.9830765811253992,competition_score,0.11104750633239746,23.678987741470337,0.11104750633239746,23.678987741470337,1,True,30
NeuralNetFastAI_r103_BAG_L1,0.9824689884759048,competition_score,0.06571245193481445,10.302995920181274,0.06571245193481445,10.302995920181274,1,True,36
NeuralNetFastAI_r11_BAG_L1,0.9819192392353076,competition_score,0.08861207962036133,11.290982961654663,0.08861207962036133,11.290982961654663,1,True,32
NeuralNetTorch_r14_BAG_L2,0.9811408624530968,competition_score,3.3125202655792236,425.54941630363464,0.10852241516113281,17.38874840736389,2,True,98
CatBoost_r128_BAG_L1,0.9806782855060465,competition_score,0.04082536697387695,47.27461218833923,0.04082536697387695,47.27461218833923,1,True,61
CatBoost_r9_BAG_L1,0.9805586720046129,competition_score,0.07766008377075195,415.6330506801605,0.07766008377075195,415.6330506801605,1,True,16
NeuralNetFastAI_r134_BAG_L1,0.9780683394200944,competition_score,0.17921090126037598,28.429125785827637,0.17921090126037598,28.429125785827637,1,True,57
NeuralNetFastAI_r37_BAG_L1,0.9761224921910607,competition_score,0.05077219009399414,8.399605989456177,0.05077219009399414,8.399605989456177,1,True,51
LightGBM_r188_BAG_L1,0.9751618416255339,competition_score,0.6571788787841797,74.18649530410767,0.6571788787841797,74.18649530410767,1,True,25
LightGBM_r196_BAG_L1,0.974244268618683,competition_score,2.4587464332580566,88.09015417098999,2.4587464332580566,88.09015417098999,1,True,42
NeuralNetFastAI_r102_BAG_L1,0.9742432352287292,competition_score,0.17323732376098633,18.153905153274536,0.17323732376098633,18.153905153274536,1,True,22
NeuralNetTorch_r14_BAG_L1,0.9738294803596248,competition_score,0.11003422737121582,10.57153058052063,0.11003422737121582,10.57153058052063,1,True,37
NeuralNetFastAI_r95_BAG_L1,0.9703027669637521,competition_score,0.08363556861877441,11.240903377532959,0.08363556861877441,11.240903377532959,1,True,45
RandomForest_r34_BAG_L1,0.9687545969151319,competition_score,0.1443624496459961,0.7642397880554199,0.1443624496459961,0.7642397880554199,1,True,58
NeuralNetFastAI_r156_BAG_L1,0.9653220828723922,competition_score,0.1583237648010254,21.636185884475708,0.1583237648010254,21.636185884475708,1,True,41
ExtraTrees_r49_BAG_L1,0.9649700055751357,competition_score,0.17722058296203613,0.591907262802124,0.17722058296203613,0.591907262802124,1,True,54
NeuralNetFastAI_r145_BAG_L1,0.9616581282580944,competition_score,0.08363080024719238,11.430704832077026,0.08363080024719238,11.430704832077026,1,True,26
NeuralNetFastAI_r111_BAG_L1,0.9604853544864841,competition_score,0.16299962997436523,12.648333311080933,0.16299962997436523,12.648333311080933,1,True,62
NeuralNetFastAI_r191_BAG_L1,0.9578396184224104,competition_score,0.07767629623413086,11.031492233276367,0.07767629623413086,11.031492233276367,1,True,15
NeuralNetFastAI_r143_BAG_L1,0.9482898930737831,competition_score,0.0557551383972168,8.264680862426758,0.0557551383972168,8.264680862426758,1,True,39
NeuralNetFastAI_BAG_L1,0.9459048640366908,competition_score,0.05774259567260742,9.11432957649231,0.05774259567260742,9.11432957649231,1,True,8
NeuralNetFastAI_r143_BAG_L2,0.9427068457298979,competition_score,3.2687125205993652,416.29100155830383,0.06471467018127441,8.130333662033081,2,True,100
KNeighborsDist_BAG_L1,0.7358835939916741,competition_score,0.05675148963928223,0.013939142227172852,0.05675148963928223,0.013939142227172852,1,True,2
KNeighborsUnif_BAG_L1,0.7349022024142366,competition_score,1.9186077117919922,0.009956121444702148,1.9186077117919922,0.009956121444702148,1,True,1
